date,vwretd,ewretd,sprtrn
2016-01-04,-0.014891,-0.012347,-0.015304
2016-01-05,0.001397,0.000358,0.002012
2016-01-06,-0.013799,-0.013461,-0.013115
2016-01-07,-0.023909,-0.024817,-0.0237
2016-01-08,-0.010935,-0.01028,-0.010838
2016-01-11,-0.001736,-0.01147,0.000853
2016-01-12,0.006081,-0.002801,0.007803
2016-01-13,-0.025834,-0.025334,-0.024965
2016-01-14,0.015434,0.011798,0.016696
2016-01-15,-0.02167,-0.021013,-0.021599
2016-01-19,-0.002414,-0.01155,0.000532
2016-01-20,-0.010584,-0.006012,-0.011694
2016-01-21,0.005654,0.009705,0.005195
2016-01-22,0.022476,0.024274,0.020284
2016-01-25,-0.016673,-0.015854,-0.015638
2016-01-26,0.015919,0.016783,0.014144
2016-01-27,-0.010546,-0.007908,-0.010864
2016-01-28,0.005035,0.003096,0.005529
2016-01-29,0.024547,0.022985,0.02476
2016-02-01,-0.000351,-0.001283,-0.000443
2016-02-02,-0.020022,-0.018987,-0.018743
2016-02-03,0.005729,0.005886,0.004992
2016-02-04,0.003623,0.00747,0.001527
2016-02-05,-0.019591,-0.017767,-0.018481
2016-02-08,-0.016964,-0.019847,-0.014154
2016-02-09,-0.003067,-0.010316,-0.000664
2016-02-10,0.000273,-0.000341,-0.000189
2016-02-11,-0.011979,-0.010969,-0.012301
2016-02-12,0.020132,0.017355,0.019518
2016-02-16,0.017684,0.018596,0.016517
2016-02-17,0.018099,0.020475,0.01648
2016-02-18,-0.004199,-0.003082,-0.004666
2016-02-19,-0.000231,-0.000172,-2.6e-05
2016-02-22,0.014305,0.01412,0.014454
2016-02-23,-0.011789,-0.0104,-0.012454
2016-02-24,0.004963,0.0054,0.00444
2016-02-25,0.011044,0.006034,0.011348
2016-02-26,0.000283,0.006814,-0.00187
2016-02-29,-0.005893,0.001118,-0.008121
2016-03-01,0.022404,0.015678,0.023869
2016-03-02,0.005674,0.012915,0.004094
2016-03-03,0.005603,0.011133,0.003499
2016-03-04,0.004192,0.009375,0.003306
2016-03-07,0.003223,0.015463,0.000885
2016-03-08,-0.01354,-0.018193,-0.01124
2016-03-09,0.005555,0.005671,0.005052
2016-03-10,-0.001281,-0.004424,0.000156
2016-03-11,0.017442,0.016288,0.016396
2016-03-14,-0.001576,0.000194,-0.001261
2016-03-15,-0.004458,-0.012586,-0.001837
2016-03-16,0.007493,0.008931,0.0056
2016-03-17,0.00825,0.011653,0.006595
2016-03-18,0.003879,0.004755,0.004406
2016-03-21,0.000503,0.001397,0.000986
2016-03-22,-0.000372,-8e-05,-0.000877
2016-03-23,-0.00945,-0.01627,-0.006386
2016-03-24,-0.000141,0.001314,-0.000378
2016-03-28,0.000806,-0.000773,0.000545
2016-03-29,0.011053,0.013285,0.008817
2016-03-30,0.004467,0.00449,0.00435
2016-03-31,-0.000868,0.001595,-0.00204
2016-04-01,0.004664,0.00147,0.006331
2016-04-04,-0.004391,-0.004635,-0.003208
2016-04-05,-0.010012,-0.00795,-0.010145
2016-04-06,0.011074,0.010785,0.010508
2016-04-07,-0.011653,-0.0087,-0.011976
2016-04-08,0.004327,0.006507,0.002787
2016-04-11,-0.001833,0.002527,-0.00274
2016-04-12,0.010399,0.010825,0.009662
2016-04-13,0.011323,0.014055,0.01004
2016-04-14,-0.000462,-0.000171,0.000173
2016-04-15,-0.000565,0.000183,-0.000984
2016-04-18,0.006766,0.006411,0.006541
2016-04-19,0.00449,0.006447,0.003085
2016-04-20,0.001225,0.002083,0.000762
2016-04-21,-0.005273,-0.002437,-0.005194
2016-04-22,0.001835,0.005726,4.8e-05
2016-04-25,-0.002787,-0.004835,-0.001812
2016-04-26,0.003357,0.006571,0.001873
2016-04-27,0.002651,0.00482,0.001649
2016-04-28,-0.008569,-0.005092,-0.009231
2016-04-29,-0.004465,-0.003775,-0.005063
2016-05-02,0.006733,0.00194,0.00781
2016-05-03,-0.011101,-0.012701,-0.008677
2016-05-04,-0.006171,-0.006506,-0.005937
2016-05-05,-0.000444,-0.002793,-0.000239
2016-05-06,0.003519,0.001418,0.003175
2016-05-09,-0.0002,-0.002075,0.000753
2016-05-10,0.012298,0.008524,0.012484
2016-05-11,-0.008295,-0.00574,-0.009562
2016-05-12,-0.000776,-0.007274,-0.00017
2016-05-13,-0.007964,-0.004728,-0.008478
2016-05-16,0.01021,0.008839,0.009797
2016-05-17,-0.008591,-0.00752,-0.009411
2016-05-18,-0.000812,-0.001407,0.000205
2016-05-19,-0.003791,-0.00632,-0.003707
2016-05-20,0.007642,0.010403,0.006019
2016-05-23,-0.00179,0.00197,-0.002085
2016-05-24,0.013114,0.011284,0.013681
2016-05-25,0.007321,0.008136,0.006975
2016-05-26,-0.000158,-0.000718,-0.00021
2016-05-27,0.004415,0.004876,0.004287
2016-05-31,-0.000348,0.00328,-0.001
2016-06-01,0.002367,0.005121,0.00113
2016-06-02,0.003603,0.004049,0.002825
2016-06-03,-0.001949,-8.6e-05,-0.002912
2016-06-06,0.006131,0.010977,0.004897
2016-06-07,0.002122,0.004184,0.001289
2016-06-08,0.003565,0.006503,0.003309
2016-06-09,-0.002816,-0.005592,-0.001718
2016-06-10,-0.011232,-0.013732,-0.009175
2016-06-13,-0.008135,-0.009599,-0.008115
2016-06-14,-0.00278,-0.005217,-0.001799
2016-06-15,-0.000492,0.003866,-0.001841
2016-06-16,0.001908,-0.002101,0.003133
2016-06-17,-0.001748,0.001622,-0.003258
2016-06-20,0.007279,0.010065,0.005808
2016-06-21,0.002334,-0.001065,0.002712
2016-06-22,-0.001865,-0.002201,-0.001652
2016-06-23,0.014415,0.014344,0.013364
2016-06-24,-0.036628,-0.030438,-0.03592
2016-06-27,-0.02032,-0.025568,-0.018097
2016-06-28,0.018044,0.018965,0.01777
2016-06-29,0.0176,0.016154,0.017033
2016-06-30,0.013181,0.009829,0.013565
2016-07-01,0.00301,0.007658,0.001949
2016-07-05,-0.008225,-0.011081,-0.006848
2016-07-06,0.005437,0.004363,0.005353
2016-07-07,-0.00069,0.00108,-0.000872
2016-07-08,0.015478,0.016923,0.015253
2016-07-11,0.00421,0.006845,0.003409
2016-07-12,0.007923,0.01066,0.007009
2016-07-13,-0.000232,-0.002455,0.000135
2016-07-14,0.004685,0.002044,0.005259
2016-07-15,-0.000803,0.00104,-0.000929
2016-07-18,0.002602,0.003147,0.002382
2016-07-19,-0.002363,-0.004728,-0.001435
2016-07-20,0.004629,0.0062,0.00427
2016-07-21,-0.003322,-0.001336,-0.003612
2016-07-22,0.0045,0.004519,0.004554
2016-07-25,-0.003154,-0.003686,-0.003011
2016-07-26,0.001613,0.004149,0.000323
2016-07-27,-0.001242,0.001903,-0.001199
